جامعةالأعمالوالتكنولوجياالأهلية;University of Business And Technology;UNIBUSANDTEC
جامعةالأعمالوالتكنولوجياالأهليةبكالوريوس;University of Business And Technology;UNIBUSANDTEC
جامعةالأعمالوالتكنولوجياالأهليةدراساتعليا;University of Business And Technology;UNIBUSANDTEC
جامعةالدمام;University of Dammam;UNIDAM
جامعةالدمامبكالوريوس;University of Dammam;UNIDAM
جامعةالدمامدبلوممتوسط;University of Dammam;UNIDAM
جامعةالدمامدراساتعليا;University of Dammam;UNIDAM
جامعةحائل;University of Hail;UNIHAI
جامعةحائلبكالوريوس;University of Hail;UNIHAI
جامعةحائلدبلوممتوسط;University of Hail;UNIHAI
جامعةحائلدراساتعليا;University of Hail;UNIHAI
قطاعينبعالتعليمي;Yanbu Educational Sector;YANEDUSEC
قطاعينبعالتعليميبكالوريوس;Yanbu Educational Sector;YANEDUSEC
قطاعينبعالتعليميدبلوممتوسط;Yanbu Educational Sector;YANEDUSEC
كليةينبعالصناعية;Yanbu Industrial College;YANINDCOL
كليةينبعالجامعية;Yanbu University College;YANUNICOL
