;;;;;;;;;سعودي;سعودي;سعودي;غير سعودي;غير سعودي;غير سعودي;المجموع;المجموع;المجموع;NA
YR;SS;DS;IT;IN;CO;SE;SP;SSYS;ذكر ;أنثى ;جملة ;ذكر ;أنثى ;جملة ;ذكر ;أنثى ;جملة ;GE
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;المحاسبة;المحاسبة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;المحاسبة;المحاسبة;جملة;18;0;18;2;0;2;20;0;20;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;جملة;جملة;دبلومعالٍ;894;578;1472;4;9;13;898;587;1485;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;جملة;جملة;ماجستير;161;201;362;0;3;3;161;204;365;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;جملة;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;جملة;جملة;دكتوراه;42;18;60;0;0;0;42;18;60;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;جملة;جملة;جملة;1097;797;1894;4;12;16;1101;809;1910;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية البدنية;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية البدنية;جملة;ماجستير;15;0;15;0;0;0;15;0;15;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية البدنية;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية البدنية;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية البدنية;جملة;جملة;15;0;15;0;0;0;15;0;15;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية البدنية;الإدارة الرياضية;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
