;;;;;;;;;سعودي;سعودي;سعودي;غير سعودي;غير سعودي;غير سعودي;المجموع;المجموع;المجموع;NA
YR;SS;DS;IT;IN;CO;SE;SP;SSYS;ذكر ;أنثى ;جملة ;ذكر ;أنثى ;جملة ;ذكر ;أنثى ;جملة ;GE
1435-1434;fr;pg;جامعة الأعمال والتكنولوجيا الأهلية دراسات عليا;جامعة الأعمال والتكنولوجيا الأهلية دراسات عليا;كلية إدارة الأعمال الأهلية;برنامج الماجستير التنفيذي في إدارة الأعمال;إدارة الأعمال;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الأعمال والتكنولوجيا الأهلية دراسات عليا;جامعة الأعمال والتكنولوجيا الأهلية دراسات عليا;كلية إدارة الأعمال الأهلية;برنامج الماجستير التنفيذي في إدارة الأعمال;إدارة الأعمال;ماجستير;83;110;193;4;7;11;87;117;204;
1435-1434;fr;pg;جامعة الأعمال والتكنولوجيا الأهلية دراسات عليا;جامعة الأعمال والتكنولوجيا الأهلية دراسات عليا;كلية إدارة الأعمال الأهلية;برنامج الماجستير التنفيذي في إدارة الأعمال;إدارة الأعمال;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الأعمال والتكنولوجيا الأهلية دراسات عليا;جامعة الأعمال والتكنولوجيا الأهلية دراسات عليا;كلية إدارة الأعمال الأهلية;برنامج الماجستير التنفيذي في إدارة الأعمال;إدارة الأعمال;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الأعمال والتكنولوجيا الأهلية دراسات عليا;جامعة الأعمال والتكنولوجيا الأهلية دراسات عليا;كلية إدارة الأعمال الأهلية;برنامج الماجستير التنفيذي في إدارة الأعمال;إدارة الأعمال;جملة;83;110;193;4;7;11;87;117;204;
1435-1434;fr;pg;جامعة الأعمال والتكنولوجيا الأهلية دراسات عليا;جامعة الأعمال والتكنولوجيا الأهلية دراسات عليا;الإجمالي الكلي;جملة;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الأعمال والتكنولوجيا الأهلية دراسات عليا;جامعة الأعمال والتكنولوجيا الأهلية دراسات عليا;الإجمالي الكلي;جملة;جملة;ماجستير;83;110;193;4;7;11;87;117;204;
1435-1434;fr;pg;جامعة الأعمال والتكنولوجيا الأهلية دراسات عليا;جامعة الأعمال والتكنولوجيا الأهلية دراسات عليا;الإجمالي الكلي;جملة;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الأعمال والتكنولوجيا الأهلية دراسات عليا;جامعة الأعمال والتكنولوجيا الأهلية دراسات عليا;الإجمالي الكلي;جملة;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة الأعمال والتكنولوجيا الأهلية دراسات عليا;جامعة الأعمال والتكنولوجيا الأهلية دراسات عليا;الإجمالي الكلي;جملة;جملة;جملة;83;110;193;4;7;11;87;117;204;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;جملة;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;جملة;جملة;ماجستير;25;12;37;3;8;11;28;20;48;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;جملة;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;جملة;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;جملة;جملة;جملة;25;12;37;3;8;11;28;20;48;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;جملة;ماجستير;21;9;30;3;5;8;24;14;38;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;جملة;جملة;21;9;30;3;5;8;24;14;38;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;الإستعاضة السنية ;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;الإستعاضة السنية ;ماجستير;2;2;4;0;1;1;2;3;5;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;الإستعاضة السنية ;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;الإستعاضة السنية ;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;الإستعاضة السنية ;جملة;2;2;4;0;1;1;2;3;5;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;العلاج التحفظي وطب الأسنان التجميلي;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;العلاج التحفظي وطب الأسنان التجميلي;ماجستير;3;2;5;0;1;1;3;3;6;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;العلاج التحفظي وطب الأسنان التجميلي;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;العلاج التحفظي وطب الأسنان التجميلي;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;العلاج التحفظي وطب الأسنان التجميلي;جملة;3;2;5;0;1;1;3;3;6;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;علاج أمراض اللثة وزراعة الأسنان;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;علاج أمراض اللثة وزراعة الأسنان;ماجستير;2;1;3;2;0;2;4;1;5;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;علاج أمراض اللثة وزراعة الأسنان;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;علاج أمراض اللثة وزراعة الأسنان;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;علاج أمراض اللثة وزراعة الأسنان;جملة;2;1;3;2;0;2;4;1;5;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;طب أسنان الأطفال;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;طب أسنان الأطفال;ماجستير;3;3;6;0;0;0;3;3;6;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;طب أسنان الأطفال;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;طب أسنان الأطفال;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;طب أسنان الأطفال;جملة;3;3;6;0;0;0;3;3;6;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;علاج الجذور وعصب الأسنان;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;علاج الجذور وعصب الأسنان;ماجستير;4;0;4;1;0;1;5;0;5;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;علاج الجذور وعصب الأسنان;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;علاج الجذور وعصب الأسنان;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;علاج الجذور وعصب الأسنان;جملة;4;0;4;1;0;1;5;0;5;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;جراحة الفم والوجه والفكين;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;جراحة الفم والوجه والفكين;ماجستير;4;0;4;0;0;0;4;0;4;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;جراحة الفم والوجه والفكين;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;جراحة الفم والوجه والفكين;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;جراحة الفم والوجه والفكين;جملة;4;0;4;0;0;0;4;0;4;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;تقويم الأسنان;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;تقويم الأسنان;ماجستير;3;0;3;0;1;1;3;1;4;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;تقويم الأسنان;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;تقويم الأسنان;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;تقويم الأسنان;جملة;3;0;3;0;1;1;3;1;4;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;علوم التشخيص وطب الفم;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;علوم التشخيص وطب الفم;ماجستير;0;1;1;0;2;2;0;3;3;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;علوم التشخيص وطب الفم;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;علوم التشخيص وطب الفم;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;طب الأسنان;علوم التشخيص وطب الفم;جملة;0;1;1;0;2;2;0;3;3;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;الصيدلة والعلوم الطبية;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;الصيدلة والعلوم الطبية;جملة;ماجستير;4;3;7;0;3;3;4;6;10;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;الصيدلة والعلوم الطبية;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;الصيدلة والعلوم الطبية;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;الصيدلة والعلوم الطبية;جملة;جملة;4;3;7;0;3;3;4;6;10;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;الصيدلة والعلوم الطبية;الصيدلة الإكلينيكية;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;الصيدلة والعلوم الطبية;الصيدلة الإكلينيكية;ماجستير;4;3;7;0;3;3;4;6;10;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;الصيدلة والعلوم الطبية;الصيدلة الإكلينيكية;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;الصيدلة والعلوم الطبية;الصيدلة الإكلينيكية;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الرياض لطب الأسنان والصيدلة;الصيدلة والعلوم الطبية;الصيدلة الإكلينيكية;جملة;4;3;7;0;3;3;4;6;10;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الإجمالي الكلي;جملة;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الإجمالي الكلي;جملة;جملة;ماجستير;25;12;37;3;8;11;28;20;48;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الإجمالي الكلي;جملة;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الإجمالي الكلي;جملة;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;الإجمالي الكلي;جملة;جملة;جملة;25;12;37;3;8;11;28;20;48;
1435-1434;fr;pg;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;الأمير سلطان للسياحة والإدارة بجدة;جملة;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;الأمير سلطان للسياحة والإدارة بجدة;جملة;جملة;ماجستير;37;0;37;3;0;3;40;0;40;
1435-1434;fr;pg;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;الأمير سلطان للسياحة والإدارة بجدة;جملة;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;الأمير سلطان للسياحة والإدارة بجدة;جملة;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;الأمير سلطان للسياحة والإدارة بجدة;جملة;جملة;جملة;37;0;37;3;0;3;40;0;40;
1435-1434;fr;pg;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;الأمير سلطان للسياحة والإدارة بجدة;الإدارة;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;الأمير سلطان للسياحة والإدارة بجدة;الإدارة;جملة;ماجستير;37;0;37;3;0;3;40;0;40;
1435-1434;fr;pg;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;الأمير سلطان للسياحة والإدارة بجدة;الإدارة;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;الأمير سلطان للسياحة والإدارة بجدة;الإدارة;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;الأمير سلطان للسياحة والإدارة بجدة;الإدارة;جملة;جملة;37;0;37;3;0;3;40;0;40;
1435-1434;fr;pg;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;الأمير سلطان للسياحة والإدارة بجدة;الإدارة;عام إدارة أعمال;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;الأمير سلطان للسياحة والإدارة بجدة;الإدارة;عام إدارة أعمال;ماجستير;37;0;37;3;0;3;40;0;40;
1435-1434;fr;pg;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;الأمير سلطان للسياحة والإدارة بجدة;الإدارة;عام إدارة أعمال;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;الأمير سلطان للسياحة والإدارة بجدة;الإدارة;عام إدارة أعمال;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;الأمير سلطان للسياحة والإدارة بجدة;الإدارة;عام إدارة أعمال;جملة;37;0;37;3;0;3;40;0;40;
1435-1434;fr;pg;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;الإجمالي الكلي;جملة;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;الإجمالي الكلي;جملة;جملة;ماجستير;37;0;37;3;0;3;40;0;40;
1435-1434;fr;pg;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;الإجمالي الكلي;جملة;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;الإجمالي الكلي;جملة;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;كلية الأمير سلطان للسياحة والإدارة بجدة دراسات عليا;الإجمالي الكلي;جملة;جملة;جملة;37;0;37;3;0;3;40;0;40;
1435-1434;fr;pg;كليات الشرق العربي للدراسات العليا;كليات الشرق العربي للدراسات العليا;كليات الشرق العربي للدراسات العليا;جملة;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الشرق العربي للدراسات العليا;كليات الشرق العربي للدراسات العليا;كليات الشرق العربي للدراسات العليا;جملة;جملة;ماجستير;251;279;530;1;0;1;252;279;531;
1435-1434;fr;pg;كليات الشرق العربي للدراسات العليا;كليات الشرق العربي للدراسات العليا;كليات الشرق العربي للدراسات العليا;جملة;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الشرق العربي للدراسات العليا;كليات الشرق العربي للدراسات العليا;كليات الشرق العربي للدراسات العليا;جملة;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الشرق العربي للدراسات العليا;كليات الشرق العربي للدراسات العليا;كليات الشرق العربي للدراسات العليا;جملة;جملة;جملة;251;279;530;1;0;1;252;279;531;
1435-1434;fr;pg;كليات الشرق العربي للدراسات العليا;كليات الشرق العربي للدراسات العليا;كليات الشرق العربي للدراسات العليا;التربية في الإدارة والإشراف التربوي;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الشرق العربي للدراسات العليا;كليات الشرق العربي للدراسات العليا;كليات الشرق العربي للدراسات العليا;التربية في الإدارة والإشراف التربوي;جملة;ماجستير;34;60;94;0;0;0;34;60;94;
1435-1434;fr;pg;كليات الشرق العربي للدراسات العليا;كليات الشرق العربي للدراسات العليا;كليات الشرق العربي للدراسات العليا;التربية في الإدارة والإشراف التربوي;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;كليات الشرق العربي للدراسات العليا;كليات الشرق العربي للدراسات العليا;كليات الشرق العربي للدراسات العليا;التربية في الإدارة والإشراف التربوي;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
