SE;CO;IN;IT
التسويق والتجارة الإلكترونية;العلوم الإدارية والمالية;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
التسويق والتجارة الإلكترونية;إدارة الأعمال;جامعة جازان بكالوريوس;جامعة جازان بكالوريوس
التسويق والإدارة;الإدارة الصناعية;جامعة الملك فهد للبترول والمعادن بكالوريوس;جامعة الملك فهد للبترول والمعادن بكالوريوس
علوم الحديث ;الحديث الشريف والدراسات الإسلامية ;الجامعة الإسلامية دراسات عليا;الجامعة الإسلامية دراسات عليا
تمريض باطني وجراحي;التمريض بخميس مشيط;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
النواتج الطبيعية;الصيدلة;جامعة الملك عبد العزيز دراسات عليا;جامعة الملك عبد العزيز دراسات عليا
الطبيعية والهندسية;الدراسات التطبيقية وخدمة المجتمع;جامعة الملك سعود دبلوم متوسط;جامعة الملك سعود دبلوم متوسط
العلاج الطبيعي;العلوم الطبية التطبيقية;جامعة جازان بكالوريوس;جامعة جازان بكالوريوس
العلاج الطبيعي;العلوم الطبية التطبيقية;جامعة تبوك بكالوريوس;جامعة تبوك بكالوريوس
العلاج الطبيعي;البترجي للعوم الصحية والتكنولوجيا الأهلية;كلية البترجي للعلوم الطبية والتكنولوجيا الأهلية بكالوريوس;كلية البترجي للعلوم الطبية والتكنولوجيا الأهلية بكالوريوس
العلاج الطبيعي;العلوم الطبية التطبيقية;كليات بريدة الأهلية بكالوريوس;كليات بريدة الأهلية بكالوريوس
العلاج الطبيعي;العلوم الطبية التطبيقية;جامعة الدمام دراسات عليا;جامعة الدمام دراسات عليا
هندسة الشبكات;علوم الحاسب الآلي;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
طب الأعصاب;الطب بالدمام;جامعة الدمام دراسات عليا;جامعة الدمام دراسات عليا
مستجد;الاقتصاد والإدارة;جامعة الملك عبد العزيز بكالوريوس;جامعة الملك عبد العزيز بكالوريوس
مستجد;الهندسة;جامعة الملك عبد العزيز بكالوريوس;جامعة الملك عبد العزيز بكالوريوس
مستجد;الأعمال بخليص;جامعة الملك عبد العزيز بكالوريوس;جامعة الملك عبد العزيز بكالوريوس
مستجد;الحاسبات وتقنية المعلومات بخليص;جامعة الملك عبد العزيز بكالوريوس;جامعة الملك عبد العزيز بكالوريوس
مستجد العلوم والآداب;العلوم والآداب بالكامل;جامعة الملك عبد العزيز بكالوريوس;جامعة الملك عبد العزيز بكالوريوس
مستجد الحاسبات وتقنية المعلومات;الحاسبات وتقنية المعلومات;جامعة الملك عبد العزيز بكالوريوس;جامعة الملك عبد العزيز بكالوريوس
مستجد آداب;الآداب والعلوم الإنسانية;جامعة الملك عبد العزيز بكالوريوس;جامعة الملك عبد العزيز بكالوريوس
مستجد آداب;العلوم والآداب بخليص;جامعة الملك عبد العزيز بكالوريوس;جامعة الملك عبد العزيز بكالوريوس
مستجد ادب;العلوم والأداب برابغ;جامعة الملك عبد العزيز بكالوريوس;جامعة الملك عبد العزيز بكالوريوس
مستجد علوم;العلوم والأداب برابغ;جامعة الملك عبد العزيز بكالوريوس;جامعة الملك عبد العزيز بكالوريوس
مستجد علوم;العلوم والآداب بخليص;جامعة الملك عبد العزيز بكالوريوس;جامعة الملك عبد العزيز بكالوريوس
مستجد علوم وهندسة الحاسبات;علوم وهندسة الحاسبات;جامعة طيبة بكالوريوس;جامعة طيبة بكالوريوس
غير متخصص;طب الأسنان;جامعة الملك عبد العزيز بكالوريوس;جامعة الملك عبد العزيز بكالوريوس
غير متخصص;العلوم الطبية التطبيقية بالمجمعة;جامعة المجمعة بكالوريوس;جامعة المجمعة بكالوريوس
الهندسة النووية;الهندسة;جامعة الملك عبد العزيز دراسات عليا;جامعة الملك عبد العزيز دراسات عليا
الطب النووي;كلية العناية الطبية الأهلية;كلية العناية الطبية الأهلية بكالوريوس;كلية العناية الطبية الأهلية بكالوريوس
التمريض;التمريض;جامعة الملك عبد العزيز بكالوريوس;جامعة الملك عبد العزيز بكالوريوس
التمريض;التمريض;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
التمريض;العلوم الطبية التطبيقية ببيشة;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
التمريض;التمرض والعلوم الصحية المساعدة;جامعة جازان بكالوريوس;جامعة جازان بكالوريوس
التمريض;التمريض;جامعة حائل بكالوريوس;جامعة حائل بكالوريوس
التمريض;الكلية الجامعية بالشنان;جامعة حائل بكالوريوس;جامعة حائل بكالوريوس
التمريض;العلوم الطبية التطبيقية;جامعة الجوف بكالوريوس;جامعة الجوف بكالوريوس
التمريض;العلوم الطبية التطبيقية;جامعة تبوك بكالوريوس;جامعة تبوك بكالوريوس
التمريض;الكلية الجامعية بأملج;جامعة تبوك بكالوريوس;جامعة تبوك بكالوريوس
التمريض;التمريض;جامعة نجران بكالوريوس;جامعة نجران بكالوريوس
التمريض;الدكتور سليمان فقيه للتمريض والعلوم الطبية;كلية الدكتور سليمان فقيه للتمريض والعلوم الطبية بكالوريوس;كلية الدكتور سليمان فقيه للتمريض والعلوم الطبية بكالوريوس
التمريض;كليات الرياض لطب الأسنان والصيدلة ;كليات الرياض لطب الأسنان والصيدلة بكالوريوس;كليات الرياض لطب الأسنان والصيدلة بكالوريوس
التمريض;ابن سينا الأهلية للعلوم الطبية;كلية ابن سينا الأهلية للعلوم الطبية بكالوريوس;كلية ابن سينا الأهلية للعلوم الطبية بكالوريوس
التمريض;العلوم الطبية التطبيقية;كليات بريدة الأهلية بكالوريوس;كليات بريدة الأهلية بكالوريوس
التمريض;محمد المانع الأهلية للعلوم الطبية;كلية محمد المانع الأهلية للعلوم الطبية بكالوريوس;كلية محمد المانع الأهلية للعلوم الطبية بكالوريوس
التمريض;كلية الغد الدولية للعلوم الطبية التطبيقية بالرياض;كليات الغد الدولية للعلوم الطبية التطبيقية بكالوريوس;كليات الغد الدولية للعلوم الطبية التطبيقية بكالوريوس
التمريض;كلية العناية الطبية الأهلية;كلية العناية الطبية الأهلية بكالوريوس;كلية العناية الطبية الأهلية بكالوريوس
تجسير تمريض عام;الأمير سلطان العسكرية للعلوم الصحية بالظهران;كلية الأمير سلطان العسكرية للعلوم الصحية بالظهران بكالوريوس;كلية الأمير سلطان العسكرية للعلوم الصحية بالظهران بكالوريوس
تمريض;التمريض للبنات بعرعر;جامعة الحدود الشمالية بكالوريوس;جامعة الحدود الشمالية بكالوريوس
تمريض;العلوم الطبية التطبيقية بالقويعية;جامعة شقراء بكالوريوس;جامعة شقراء بكالوريوس
تمريض;العلوم الطبية التطبيقية بالمجمعة;جامعة المجمعة بكالوريوس;جامعة المجمعة بكالوريوس
تمريض;سعد للتمريض والعلوم الصحية الأهلية;كلية سعد للتمريض والعلوم الصحية الأهلية بكالوريوس;كلية سعد للتمريض والعلوم الصحية الأهلية بكالوريوس
تمريض;الريادة للعلوم الصحية الأهلية;كلية الريادة للعلوم الصحية الأهلية بكالوريوس;كلية الريادة للعلوم الصحية الأهلية بكالوريوس
تمريض;الفارابي لطب الأسنان والتمرض بالرياض;كلية الفارابي لطب الأسنان والتمريض بكالوريوس;كلية الفارابي لطب الأسنان والتمريض بكالوريوس
تمريض عام;التمريض;جامعة القصيم بكالوريوس;جامعة القصيم بكالوريوس
عام تمريض ;التمريض بالرياض;جامعة الملك سعود بن عبدالعزيز للعلوم الصحية بكالوريوس;جامعة الملك سعود بن عبدالعزيز للعلوم الصحية بكالوريوس
تمريض الحالات الحرجة;التمريض;جامعة الدمام دراسات عليا;جامعة الدمام دراسات عليا
علوم التمريض;العلوم الطبية التطبيقية  بوادي الدواسر;جامعة سلمان بن عبدالعزيز بكالوريوس;جامعة سلمان بن عبدالعزيز بكالوريوس
علوم تمريض;العلوم الطبية التطبيقية بالدوادمي;جامعة شقراء بكالوريوس;جامعة شقراء بكالوريوس
فني تمريض;المجتمع;جامعة الباحة دبلوم متوسط;جامعة الباحة دبلوم متوسط
التغذية وعلوم الأطعمة;التصاميم والاقتصاد المنزلي ببريدة;جامعة القصيم بكالوريوس;جامعة القصيم بكالوريوس
التغذية وعلوم الأطعمة;الاقتصاد المنزلي;جامعة تبوك بكالوريوس;جامعة تبوك بكالوريوس
النساء والولادة;عمادة الدراسات العليا;جامعة الملك سعود بن عبد العزيز للعلوم الصحية دراسات عليا;جامعة الملك سعود بن عبد العزيز للعلوم الصحية دراسات عليا
الإدارة المكتبية;عمادة خدمة المجتمع والتعليم المستمر;جامعة جازان دبلوم متوسط;جامعة جازان دبلوم متوسط
الإدارة المكتبية;عمادة خدمة المجتمع والتعليم المستمر;جامعة تبوك دبلوم متوسط;جامعة تبوك دبلوم متوسط
الإدارة المكتبية;عمادة خدمة المجتمع والتعليم المستمر  بالمجمعة ;جامعة المجمعة دبلوم متوسط;جامعة المجمعة دبلوم متوسط
إدارة العمليات والمعلومات;إدارة الأعمال;جامعة عفت بكالوريوس;جامعة عفت بكالوريوس
البصريات;العلوم الطبية التطبيقية;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
جراحة الوجه والفكين;طب الأسنان;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
صحة الفم والأسنان;الأمير سلطان العسكرية للعلوم الصحية بالظهران;كلية الأمير سلطان العسكرية للعلوم الصحية بالظهران بكالوريوس;كلية الأمير سلطان العسكرية للعلوم الصحية بالظهران بكالوريوس
أخرى;الكلية التقنية بالدمام;المؤسسة العامة للتدريب التقني والمهني بكالوريوس;المؤسسة العامة للتدريب التقني والمهني بكالوريوس
طب وجراحة العيون;الطب بالدمام;جامعة الدمام دراسات عليا;جامعة الدمام دراسات عليا
علم الأمراض;الطب بالدمام;جامعة الدمام دراسات عليا;جامعة الدمام دراسات عليا
طب الأطفال;عمادة الدراسات العليا;جامعة الملك سعود بن عبد العزيز للعلوم الصحية دراسات عليا;جامعة الملك سعود بن عبد العزيز للعلوم الصحية دراسات عليا
طب أسنان الأطفال وتقويم الأسنان;طب الأسنان;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
تمريض الأطفال;التمريض;جامعة الدمام دراسات عليا;جامعة الدمام دراسات عليا
هندسة البترول;العلوم الهندسية;جامعة الملك فهد للبترول والمعادن بكالوريوس;جامعة الملك فهد للبترول والمعادن بكالوريوس
الصيدلة;الصيدلة;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
الصيدلة;الصيدلة;جامعة القصيم بكالوريوس;جامعة القصيم بكالوريوس
الصيدلة;الصيدلة;جامعة جازان بكالوريوس;جامعة جازان بكالوريوس
الصيدلة;ابن سينا الأهلية للعلوم الطبية;كلية ابن سينا الأهلية للعلوم الطبية بكالوريوس;كلية ابن سينا الأهلية للعلوم الطبية بكالوريوس
الصيدلة;البترجي للعوم الصحية والتكنولوجيا الأهلية;كلية البترجي للعلوم الطبية والتكنولوجيا الأهلية بكالوريوس;كلية البترجي للعلوم الطبية والتكنولوجيا الأهلية بكالوريوس
الصيدلة;المعرفة للعلوم والتقنية ;كلية المعرفة للعلوم والتقنية بكالوريوس;كلية المعرفة للعلوم والتقنية بكالوريوس
الصيدلة;محمد المانع الأهلية للعلوم الطبية;كلية محمد المانع الأهلية للعلوم الطبية بكالوريوس;كلية محمد المانع الأهلية للعلوم الطبية بكالوريوس
الصيدلة ;الصيدلة ;جامعة تبوك بكالوريوس;جامعة تبوك بكالوريوس
الصيدلة;الصيدلة;جامعة الملك عبد العزيز دراسات عليا;جامعة الملك عبد العزيز دراسات عليا
الصيدلانيات;الصيدلة;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
صيدلة;عمادة الدراسات العليا;جامعة الملك سعود بن عبد العزيز للعلوم الصحية دراسات عليا;جامعة الملك سعود بن عبد العزيز للعلوم الصحية دراسات عليا
الكيمياء الصيدلية;الصيدلة;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
علم الأدوية;الطب;جامعة الملك عبد العزيز دراسات عليا;جامعة الملك عبد العزيز دراسات عليا
علوم الأدوية;الصيدلة;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
الصيدلة والعلوم الطبية;كليات الرياض لطب الأسنان والصيدلة ;كليات الرياض لطب الأسنان والصيدلة بكالوريوس;كليات الرياض لطب الأسنان والصيدلة بكالوريوس
الصيدلة والعلوم الطبية;الرياض لطب الأسنان والصيدلة;كليات الرياض لطب الأسنان والصيدلة دراسات عليا;كليات الرياض لطب الأسنان والصيدلة دراسات عليا
العلوم الصيدلية;طب الأسنان والصيدلة;كليات بريدة الأهلية بكالوريوس;كليات بريدة الأهلية بكالوريوس
فني صيدلة;المجتمع;جامعة الباحة دبلوم متوسط;جامعة الباحة دبلوم متوسط
الفيزياء;العلوم التطبيقية ;جامعة أم القرى بكالوريوس;جامعة أم القرى بكالوريوس
الفيزياء;العلوم;جامعة الملك فيصل بكالوريوس;جامعة الملك فيصل بكالوريوس
الفيزياء;العلوم;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
الفيزياء;العلوم والاقتصاد المنزلي للبنات ببيشة;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
الفيزياء;العلوم والآاب للبنات بمحايل عسير;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
الفيزياء;العلوم والآداب بالرس;جامعة القصيم بكالوريوس;جامعة القصيم بكالوريوس
الفيزياء;العلوم;جامعة طيبة بكالوريوس;جامعة طيبة بكالوريوس
الفيزياء;العلوم والآداب بالعلا;جامعة طيبة بكالوريوس;جامعة طيبة بكالوريوس
الفيزياء;العلوم;جامعة جازان بكالوريوس;جامعة جازان بكالوريوس
الفيزياء;العلوم;جامعة تبوك بكالوريوس;جامعة تبوك بكالوريوس
الفيزياء;العلوم والآداب;جامعة نجران بكالوريوس;جامعة نجران بكالوريوس
الفيزياء;التربية بعفيف;جامعة شقراء بكالوريوس;جامعة شقراء بكالوريوس
الفيزياء;العلوم والدراسات الإنسانية بالقويعية;جامعة شقراء بكالوريوس;جامعة شقراء بكالوريوس
الفيزياء;العلوم والدراسات الإنسانية بحريملاء;جامعة شقراء بكالوريوس;جامعة شقراء بكالوريوس
الفيزياء;العلوم والدراسات بثادق;جامعة شقراء بكالوريوس;جامعة شقراء بكالوريوس
الفيزياء; العلوم بالزلفي;جامعة المجمعة بكالوريوس;جامعة المجمعة بكالوريوس
الفيزياء;التربية بالزلفي;جامعة المجمعة بكالوريوس;جامعة المجمعة بكالوريوس
الفيزياء ;الكلية الجامعية بالقنفذة ;جامعة أم القرى بكالوريوس;جامعة أم القرى بكالوريوس
الفيزياء ;العلوم;جامعة الملك عبد العزيز بكالوريوس;جامعة الملك عبد العزيز بكالوريوس
فيزياء;العلوم والآداب ببيشة;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
فيزياء;العلوم والآداب بصامطة;جامعة جازان بكالوريوس;جامعة جازان بكالوريوس
فيزياء;العلوم;جامعة الباحة بكالوريوس;جامعة الباحة بكالوريوس
فيزياء;العلوم والدراسات الإنسانية بالخرج;جامعة سلمان بن عبدالعزيز بكالوريوس;جامعة سلمان بن عبدالعزيز بكالوريوس
الفيزياء;العلوم;جامعة الملك فهد للبترول والمعادن دراسات عليا;جامعة الملك فهد للبترول والمعادن دراسات عليا
الفيزياء;العلوم;جامعة الطائف دراسات عليا;جامعة الطائف دراسات عليا
الفيزياء;العلوم بالدمام;جامعة الدمام دراسات عليا;جامعة الدمام دراسات عليا
الفيزياء والفلك;العلوم;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
التربية البدنية;التربية;جامعة أم القرى بكالوريوس;جامعة أم القرى بكالوريوس
التربية البدنية;التربية;جامعة جازان بكالوريوس;جامعة جازان بكالوريوس
التربية البدنية ;الكلية الجامعية بالقنفذة ;جامعة أم القرى بكالوريوس;جامعة أم القرى بكالوريوس
التربية البدنية;علوم الرياضة والنشاط البدني;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
التربية الرياضية وعلوم الحركة;التربية;جامعة القصيم بكالوريوس;جامعة القصيم بكالوريوس
التربية البدنية والعلوم الرياضية;التربية;جامعة طيبة بكالوريوس;جامعة طيبة بكالوريوس
الطب الطبيعي وإعادة التأهيل;عمادة الدراسات العليا;جامعة الملك سعود بن عبد العزيز للعلوم الصحية دراسات عليا;جامعة الملك سعود بن عبد العزيز للعلوم الصحية دراسات عليا
علاج طبيعي;العلوم الطبية التطبيقية بأبها;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
علم وظائف الأعضاء;الطب;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
وظائف الأعضاء;الطب;جامعة الملك عبد العزيز دراسات عليا;جامعة الملك عبد العزيز دراسات عليا
وظائف الأعضاء;الطب بالدمام;جامعة الدمام دراسات عليا;جامعة الدمام دراسات عليا
العلاج الطبيعي والتأهيل الصحي;العلوم الطبية التطبيقية بالمجمعة;جامعة المجمعة بكالوريوس;جامعة المجمعة بكالوريوس
الإنتاج النباتي;علوم الأغذية والزراعة;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
وقاية نبات;علوم الأغذية والزراعة;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
العلوم السياسية;الحقوق والعلوم السياسية;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
العلوم السياسية;الاقتصاد والإدارة;جامعة الملك عبد العزيز دراسات عليا;جامعة الملك عبد العزيز دراسات عليا
برنامج تحضيري;الأعمال;جامعة القصيم بكالوريوس;جامعة القصيم بكالوريوس
تمهيدي كلية المجتمع;المجتمع بجدة;جامعة الملك عبد العزيز دبلوم متوسط;جامعة الملك عبد العزيز دبلوم متوسط
صيدلة عام;الصيدلة بالخرج;جامعة سلمان بن عبدالعزيز بكالوريوس;جامعة سلمان بن عبدالعزيز بكالوريوس
إعداد العلوم الطبيعية;العلوم;جامعة القصيم بكالوريوس;جامعة القصيم بكالوريوس
إعداد العلوم الطبيعية;العلوم والآداب بالرس;جامعة القصيم بكالوريوس;جامعة القصيم بكالوريوس
إعداد العلوم الطبيعية;العلوم والآداب بعنيزة;جامعة القصيم بكالوريوس;جامعة القصيم بكالوريوس
إعداد عام;الحاسب الآلي والمعلومات;جامعة المجمعة بكالوريوس;جامعة المجمعة بكالوريوس
إعداد عام ;العلوم;جامعة الجوف بكالوريوس;جامعة الجوف بكالوريوس
إعداد عام ;العلوم والآداب بالقريات;جامعة الجوف بكالوريوس;جامعة الجوف بكالوريوس
 سنة تحضيرية;العلوم والآداب ببلجرشي;جامعة الباحة بكالوريوس;جامعة الباحة بكالوريوس
السنة تحضيرية;المجتمع بالدمام;جامعة الملك فهد للبترول والمعادن دبلوم متوسط;جامعة الملك فهد للبترول والمعادن دبلوم متوسط
سنة تحضيرية;العلوم والآداب بالمذنب;جامعة القصيم بكالوريوس;جامعة القصيم بكالوريوس
سنة تحضيرية;التربية;جامعة حائل بكالوريوس;جامعة حائل بكالوريوس
سنة تحضيرية;السنة التحضيرية ;جامعة الجوف بكالوريوس;جامعة الجوف بكالوريوس
سنة تحضيرية;سنة تحضيرية;كليات سليمان الراجحي الأهلية بكالوريوس;كليات سليمان الراجحي الأهلية بكالوريوس
الصحافة والإعلام;الآداب والعلوم الإنسانية;جامعة جازان بكالوريوس;جامعة جازان بكالوريوس
علوم طب الأسنان الوقائي;طب الأسنان;جامعة الملك عبد العزيز دراسات عليا;جامعة الملك عبد العزيز دراسات عليا
التعليم الإبتدائي;التربية;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
تعليم إبتدائي;الكلية الجامعية ببقعاء;جامعة حائل بكالوريوس;جامعة حائل بكالوريوس
تقنية البرمجة وقواعد البيانات;عمادة خدمة المجتمع والتعليم المستمر;جامعة جازان دبلوم متوسط;جامعة جازان دبلوم متوسط
المحاسبة المهنية;الاقتصاد والإدارة;جامعة الملك عبد العزيز دراسات عليا;جامعة الملك عبد العزيز دراسات عليا
إدارة مشاريع;إدارة الأعمال;جامعة الفيصل بكالوريوس;جامعة الفيصل بكالوريوس
علم النفس;التربية للبنات الأقسام الأدبية بأبها;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
علم النفس;التربية ببيشة ;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
علم النفس;التربية;جامعة القصيم بكالوريوس;جامعة القصيم بكالوريوس
علم النفس;التربية بشقراء;جامعة شقراء بكالوريوس;جامعة شقراء بكالوريوس
علم النفس;العلوم الإنسانية والاجتماعية;جامعة عفت بكالوريوس;جامعة عفت بكالوريوس
علم النفس;التربية;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا
علم النفس;العلوم الاجتماعية;جامعة الإمام محمد بن سعود الإسلامية ;جامعة الإمام محمد بن سعود الإسلامية 
علم النفس;التربية;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
علم النفس;الآداب والعلوم الإنسانية;جامعة الملك عبد العزيز دراسات عليا;جامعة الملك عبد العزيز دراسات عليا
علم النفس;التربية;جامعة الطائف دراسات عليا;جامعة الطائف دراسات عليا
تحضيري معاهد علمية;العلوم ;جامعة الإمام محمد بن سعود الإسلامية بكالوريوس;جامعة الإمام محمد بن سعود الإسلامية بكالوريوس
الطب النفسي;الطب بالدمام;جامعة الدمام دراسات عليا;جامعة الدمام دراسات عليا
عام;العلوم;جامعة الملك فيصل بكالوريوس;جامعة الملك فيصل بكالوريوس
عام;إدارة الأعمال;جامعة الملك فيصل بكالوريوس;جامعة الملك فيصل بكالوريوس
عام;التربية;جامعة الملك فيصل بكالوريوس;جامعة الملك فيصل بكالوريوس
عام;الآداب;جامعة الملك فيصل بكالوريوس;جامعة الملك فيصل بكالوريوس
عام;العلوم الزراعية والأغذية;جامعة الملك فيصل بكالوريوس;جامعة الملك فيصل بكالوريوس
عام;الطب البطري والثروة الحيوانية;جامعة الملك فيصل بكالوريوس;جامعة الملك فيصل بكالوريوس
عام;الحقوق;جامعة الملك فيصل بكالوريوس;جامعة الملك فيصل بكالوريوس
عام;علوم الحاسب وتقنية المعلومات;جامعة الملك فيصل بكالوريوس;جامعة الملك فيصل بكالوريوس
عام;الهندسة;جامعة الملك فيصل بكالوريوس;جامعة الملك فيصل بكالوريوس
عام;العلوم الطبية التطبيقية;جامعة حائل بكالوريوس;جامعة حائل بكالوريوس
عام;العلوم;جامعة حائل بكالوريوس;جامعة حائل بكالوريوس
عام;السنة التحضيرية;جامعة نجران بكالوريوس;جامعة نجران بكالوريوس
عام;العلوم الطبية التطبيقية بحفر الباطن;جامعة الدمام بكالوريوس;جامعة الدمام بكالوريوس
عام;الهندسة بالمجمعة;جامعة المجمعة بكالوريوس;جامعة المجمعة بكالوريوس
الصحة العامة;العلوم الطبية التطبيقية بخميس مشيط;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
الصحة العامة ;المجتمع التأهيلي;جامعة تبوك دبلوم متوسط;جامعة تبوك دبلوم متوسط
الصحة العامة ;الطب;جامعة الملك عبد العزيز دراسات عليا;جامعة الملك عبد العزيز دراسات عليا
الصحة العامة;الصحة العامة والمعلوماتية الصحية بالرياض;جامعة الملك سعود بن عبد العزيز للعلوم الصحية دراسات عليا;جامعة الملك سعود بن عبد العزيز للعلوم الصحية دراسات عليا
القانون العام;الشريعة والقانون بجازان;جامعة جازان بكالوريوس;جامعة جازان بكالوريوس
أصول التربية الإسلامية العامة ;التربية;جامعة الملك خالد دراسات عليا;جامعة الملك خالد دراسات عليا
العلاقات العامة ;الاداب والعلوم الانسانية;جامعة الملك عبد العزيز دبلوم متوسط;جامعة الملك عبد العزيز دبلوم متوسط
علاقات عامة;عمادة خدمة المجتمع والتعليم المستمر;جامعة الأميرة نورة بنت عبد الرحمن دبلوم متوسط;جامعة الأميرة نورة بنت عبد الرحمن دبلوم متوسط
 السنة التحضيرية;الأمير سلطان للسياحة والإدارة بجدة;كلية الأمير سلطان للسياحة والإدارة بجدة بكالوريوس;كلية الأمير سلطان للسياحة والإدارة بجدة بكالوريوس
السنة التحضيرية;المجتمع بالرياض;جامعة الملك سعود دبلوم متوسط;جامعة الملك سعود دبلوم متوسط
السنة التحضيرية;المجتمع بجدة;جامعة الملك عبد العزيز دبلوم متوسط;جامعة الملك عبد العزيز دبلوم متوسط
السنة التحضيرية;الدراسات التطبيقية وخدمة المجتمع;جامعة الملك فيصل دبلوم متوسط;جامعة الملك فيصل دبلوم متوسط
السنة التحضيرية;المجتمع بعرعر;جامعة الحدود الشمالية دبلوم متوسط;جامعة الحدود الشمالية دبلوم متوسط
السنة التحضيرية;كلية الجبيل الصناعية;كلية الجبيل الصناعية دبلوم متوسط;كلية الجبيل الصناعية دبلوم متوسط
السنة التحضيرية;السنة التحضيرية لقطاع الكليات والمعاهد بينبع *;قطاع ينبع التعليمي دبلوم متوسط;قطاع ينبع التعليمي دبلوم متوسط
السنة التحضيرية;السنة التحضيرية;الجامعة الإسلامية بكالوريوس;الجامعة الإسلامية بكالوريوس
السنة التحضيرية;السنة التحضيرية بالمزاحمية ;جامعة الملك سعود بكالوريوس;جامعة الملك سعود بكالوريوس
السنة التحضيرية;السنة التحضيرية;جامعة الملك فهد للبترول والمعادن بكالوريوس;جامعة الملك فهد للبترول والمعادن بكالوريوس
السنة التحضيرية;السنة التحضيرية;جامعة الملك فيصل بكالوريوس;جامعة الملك فيصل بكالوريوس
السنة التحضيرية;العلوم والآداب بالرس;جامعة القصيم بكالوريوس;جامعة القصيم بكالوريوس
السنة التحضيرية;العلوم والآداب بعنيزة;جامعة القصيم بكالوريوس;جامعة القصيم بكالوريوس
السنة التحضيرية;عمادة الخدمات التعليمية;جامعة القصيم بكالوريوس;جامعة القصيم بكالوريوس
السنة التحضيرية;الخدمات التعليمية;جامعة حائل بكالوريوس;جامعة حائل بكالوريوس
السنة التحضيرية;التربية;جامعة الباحة بكالوريوس;جامعة الباحة بكالوريوس
السنة التحضيرية;العلوم والآداب بالمندق;جامعة الباحة بكالوريوس;جامعة الباحة بكالوريوس
السنة التحضيرية;الآداب والعلوم الإنسانية;جامعة الباحة بكالوريوس;جامعة الباحة بكالوريوس
السنة التحضيرية;الطب;جامعة الباحة بكالوريوس;جامعة الباحة بكالوريوس
السنة التحضيرية;العلوم;جامعة الباحة بكالوريوس;جامعة الباحة بكالوريوس
السنة التحضيرية;الهندسة ;جامعة الباحة بكالوريوس;جامعة الباحة بكالوريوس
السنة التحضيرية;السنة التحضيرية;جامعة الأميرة نورة بنت عبد الرحمن بكالوريوس;جامعة الأميرة نورة بنت عبد الرحمن بكالوريوس
السنة التحضيرية;العلوم ;جامعة الحدود الشمالية بكالوريوس;جامعة الحدود الشمالية بكالوريوس
السنة التحضيرية;الطب;جامعة الحدود الشمالية بكالوريوس;جامعة الحدود الشمالية بكالوريوس
السنة التحضيرية;العلوم الطبية التطبيقية;جامعة الحدود الشمالية بكالوريوس;جامعة الحدود الشمالية بكالوريوس
السنة التحضيرية;الهندسة ;جامعة الحدود الشمالية بكالوريوس;جامعة الحدود الشمالية بكالوريوس
السنة التحضيرية;التربية والآداب بعرعر;جامعة الحدود الشمالية بكالوريوس;جامعة الحدود الشمالية بكالوريوس
السنة التحضيرية;الاقتصاد المنزلي  بعرعر;جامعة الحدود الشمالية بكالوريوس;جامعة الحدود الشمالية بكالوريوس
السنة التحضيرية;إدارة الأعمال بعرعر;جامعة الحدود الشمالية بكالوريوس;جامعة الحدود الشمالية بكالوريوس
السنة التحضيرية;الصيدلة;جامعة الحدود الشمالية بكالوريوس;جامعة الحدود الشمالية بكالوريوس
